lon_g,lat_g
128.3417085,38.58542714
128.3417085,38.55276382
128.3115578,38.5201005
128.3115578,38.45477387
128.281407,38.42211055
128.2512563,38.38944724
128.2211055,38.38944724
128.1909548,38.35678392
128.160804,38.3241206
128.1005025,38.3241206
128.0703518,38.29145729
128.040201,38.29145729
127.9798995,38.29145729
127.919598,38.3241206
127.8894472,38.3241206
127.8592965,38.29145729
127.8291457,38.29145729
127.7688442,38.3241206
127.7386935,38.3241206
127.7085427,38.3241206
127.6482412,38.35678392
127.5577889,38.35678392
127.5276382,38.3241206
127.4974874,38.3241206
127.4673367,38.3241206
127.4371859,38.3241206
127.3467337,38.3241206
127.3165829,38.3241206
127.2864322,38.3241206
127.2261307,38.35678392
127.1959799,38.3241206
127.1658291,38.3241206
127.1658291,38.29145729
127.1055276,38.29145729
127.1055276,38.25879397
127.0452261,38.22613065
127.0150754,38.22613065
126.9849246,38.22613065
126.9547739,38.19346734
126.9246231,38.16080402
126.8643216,38.1281407
126.8341709,38.09547739
126.8341709,38.06281407
126.8341709,38.03015075
126.8040201,37.99748744
126.7738693,37.99748744
126.7437186,37.99748744
126.6834171,37.96482412
126.6532663,37.9321608
126.6532663,37.89949749
126.6834171,37.86683417
126.6532663,37.83417085
126.6532663,37.80150754
126.5929648,37.76884422
126.5326633,37.80150754
126.4723618,37.80150754
126.4120603,37.83417085
126.3517588,37.80150754
126.2613065,37.83417085
126.201005,37.80150754
126.201005,37.76884422
126.2311558,37.7361809
126.2613065,37.70351759
126.2914573,37.67085427
126.3517588,37.63819095
126.3819095,37.60552764
126.4120603,37.57286432
126.5025126,37.57286432
126.5326633,37.60552764
126.6231156,37.57286432
126.5929648,37.54020101
126.5628141,37.54020101
126.3517588,37.54020101
126.3517588,37.57286432
126.321608,37.57286432
126.2914573,37.54020101
126.321608,37.50753769
126.3819095,37.50753769
126.3517588,37.47487437
126.3517588,37.44221106
126.4120603,37.40954774
126.4422111,37.40954774
126.5025126,37.44221106
126.5628141,37.47487437
126.5929648,37.44221106
126.5929648,37.40954774
126.5929648,37.37688442
126.6532663,37.34422111
126.6834171,37.31155779
126.7437186,37.27889447
126.6834171,37.27889447
126.6532663,37.24623116
126.6532663,37.21356784
126.6532663,37.18090452
126.6532663,37.14824121
126.7135678,37.11557789
126.7437186,37.08291457
126.7437186,37.05025126
126.7437186,37.01758794
126.6231156,37.01758794
126.5025126,37.08291457
126.4723618,37.05025126
126.4422111,37.01758794
126.3819095,37.01758794
126.3517588,37.01758794
126.321608,36.98492462
126.2914573,36.98492462
126.2613065,36.95226131
126.2613065,36.91959799
126.2311558,36.91959799
126.201005,36.91959799
126.1708543,36.88693467
126.1708543,36.85427136
126.1407035,36.82160804
126.1407035,36.78894472
126.1105528,36.75628141
126.1105528,36.72361809
126.1105528,36.69095477
126.1407035,36.65829146
126.1708543,36.65829146
126.2311558,36.69095477
126.2613065,36.69095477
126.2914573,36.65829146
126.2613065,36.59296482
126.2914573,36.56030151
126.321608,36.52763819
126.321608,36.49497487
126.321608,36.46231156
126.3517588,36.42964824
126.3819095,36.39698492
126.4120603,36.39698492
126.4422111,36.42964824
126.4120603,36.49497487
126.3819095,36.56030151
126.3819095,36.59296482
126.4422111,36.59296482
126.4723618,36.52763819
126.4723618,36.39698492
126.5025126,36.36432161
126.5025126,36.33165829
126.5025126,36.29899497
126.5326633,36.26633166
126.5025126,36.23366834
126.5025126,36.20100503
126.4723618,36.16834171
126.5025126,36.13567839
126.5326633,36.13567839
126.5929648,36.10301508
126.6532663,36.03768844
126.6532663,36.00502513
126.5326633,35.97236181
126.5025126,35.93969849
126.5929648,35.93969849
126.5929648,35.90703518
126.6231156,35.87437186
126.6532663,35.87437186
126.6834171,35.80904523
126.6231156,35.80904523
126.6231156,35.77638191
126.5929648,35.74371859
126.5628141,35.71105528
126.5025126,35.67839196
126.4723618,35.64572864
126.4422111,35.61306533
126.5025126,35.58040201
126.6231156,35.58040201
126.5929648,35.54773869
126.5628141,35.54773869
126.5326633,35.54773869
126.4723618,35.51507538
126.4422111,35.48241206
126.4120603,35.44974874
126.3819095,35.41708543
126.3819095,35.35175879
126.3517588,35.31909548
126.321608,35.28643216
126.2914573,35.25376884
126.2914573,35.22110553
126.3517588,35.18844221
126.321608,35.15577889
126.2914573,35.15577889
126.2311558,35.12311558
126.201005,35.12311558
126.1407035,35.12311558
126.080402,35.12311558
126.0502513,35.12311558
125.9899497,35.09045226
126.0502513,35.05778894
126.080402,35.05778894
126.1105528,35.05778894
126.1105528,35.02512563
126.080402,34.99246231
126.080402,34.95979899
126.0502513,34.92713568
126.0201005,34.92713568
125.9899497,34.89447236
125.959799,34.86180905
125.959799,34.82914573
125.959799,34.79648241
125.9296482,34.79648241
125.8994975,34.79648241
125.8693467,34.7638191
125.8693467,34.73115578
125.8994975,34.69849246
